Quantity,Designator,Description,Value,Footprint,Supplier Part Number,Manufacturer Part Number,Supplier,Manufacturer
"4","C1, C2, C3, C4","CAP CER 0.1UF 50V Y5V 0603","0.1uF","0603-CAP","311-1343-1-ND","CC0603ZRY5V9BB104","Digi-Key","YAGEO"
"1","C5","CAP CER 10UF 25V X5R 0805","10uF","0603-CAP","490-10748-6-ND","GRM21BR61E106MA73L","Digi-Key","Murata Electronics"
"2","C6, C7","CAP CER 6.8UF 50V JB 1206","6.8uF","CAP-1206","445-11734-1-ND","C3216JB1H685K160AB","Digi-Key","TDK"
"2","CON1, CON2","CONN DSUB HD RCPT 15POS R/A SLDR","","ICD15S","609-2801-ND","ICD15S13E6GX00LF","Digi-Key","Amphenol ICC (FCI)"
"1","CON3","TERM BLK 2POS SIDE ENTRY 5MM PCB","","1935161","277-1667-ND","1935161","Digi-Key","Phoenix Contact"
"1","L1","SMD Common Mode Line Filter WE-SL5 HC, L = 9.00 µH","","WE-SL5","732-2215-6-ND","744273801","Digi-Key","Wurth Electronics"
"1","LED1","LED RED CLEAR SMD","","0603-LED","160-1447-1-ND","LTST-C191KRKT","Digi-Key","Lite-On Inc."
"2","R1, R6","RES SMD 0 OHM JUMPER 1/10W 0603","DNP","0603-RES","P0.0GDKR-ND","ERJ-3GEY0R00V","Digi-Key","Panasonic Electronic Components"
"4","R2, R3, R4, R5","RES 120 OHM 1% 1/10W 0603","120","0603-RES","311-120HRCT-ND","RC0603FR-07120RL","Digi-Key","YAGEO"
"1","R7","RES 10K OHM 1% 1/8W 0603","10k","0603-RES","RNCP0603FTD10K0CT-ND","RNCP0603FTD10K0","Digi-Key","Stackpole Electronics"
"1","R8","RES 470 OHM 1% 1/10W 0603","470","0603-RES","RMCF0603FT470RCT-ND","RMCF0603FT470R","Digi-Key","Stackpole Electronics"
"4","SCREW1, SCREW2, SCREW3, SCREW4","MACH SCREW PAN PHILLIPS #4-40","","","KEY1046-ND","9900","Digi-Key","Keystone Electronics"
"4","STANDOFF1, STANDOFF2, STANDOFF3, STANDOFF4","HEX STANDOFF #4-40 BRASS 1/2""","","","36-1656-ND","1656","Digi-Key","Keystone Electronics"
"6","TP1, TP2, TP3, TP4, TP5, TP6","PC TEST POINT NATURAL","","RCU-0C","A106145CT-ND","RCU-0C","Digi-Key","TE Connectivity AMP Connectors"
"2","U1, U2","DG ISO 2.5KV RS422/RS485 16SOIC","","SOIC127P1030X265-16N","296-43594-1-ND","ISO3086TDWR","Digi-Key","Texas Instruments"
"1","U3","Recom RS6","","RS6 DCDC","945-2985-ND","RS6-2405S","Digi-Key","Recom"
