Comment,Description,Designator,Footprint,LibRef,Quantity,Supplier Part Number 1

"RCT-0C","PC TEST POINT NATURAL","GP1, GP2, GP3, TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11","RCT-0C","RCT-0C","14","A106144CT-ND"
"Capacitor","Capacitor","C1, C3, C4, C7, C8, C9, C12, C13, C14, C15","0603-CAP","Capacitor","10","311-1341-1-ND"
"Capacitor","Capacitor","C2, C5, C6, C10, C11","0603-CAP","Capacitor","5","490-12737-1-ND"
"742792609","FERRITE BEAD 30 OHM 0603 1LN","L1, L2, L3, L4","INDC1608X10N","742792609","4","732-1591-1-ND"
"LED","","LED1, LED2","0603-LED","LED","2","732-4980-1-ND"
"Resistor","Resistor","R1, R2","0603-RES","Resistor","2","311-16.0HRCT-ND"
"Resistor","Resistor","R4, R5","0603-RES","Resistor","2","311-3.00KHRCT-ND"
"Screw-4-40","","SCREW1, SCREW2","","Screw-4-40","2","36-7689-1-ND"
"Standoff-4-40","","STANDOFF1, STANDOFF2","","Standoff-4-40","2","732-10538-ND"
"5-1634503-1","CONN BNC JACK STR 50 OHM PCB","Q1","5-1634503-1","5-1634503-1","1","A97581-ND"
"1935161","","CON1","1935161","ScrewTerminal_1x2","1","277-1667-ND"
"ADS8865IDGSR","IC ADC 16BIT SAR 10VSSOP","U2","TSSOP50P490X110-10N","ADS8865IDGSR","1","296-39883-1-ND"
"HDR1x3","","P1","Term Block - 3 pos","HDR1x3","1","A98334-ND"
"HDR1x3","","P3","HDR1x3","HDR1x3","1","A32904-ND"
"HDR1X7","","P2","HDR1x7","HDR1X7","1","A32908-ND"
"INA143UA/2K5","IC OPAMP DIFF 1 CIRCUIT 8SOIC","U1","SOIC127P600X175-8N","INA143UA/2K5","1","296-46094-1-ND"
"LED","","LED3","0603-LED","LED","1","732-4978-1-ND"
"REF3020AIDBZT","Series Voltage Reference IC ±0.2% 25mA SOT-23-3","U4","SOT23-3","REF3020AIDBZT","1","REF3020AIDBZTCT-ND"
"REF3040AIDBZR","Series Voltage Reference IC ±0.2% 25mA SOT-23-3","U5","SOT23-3","REF3020AIDBZT","1","296-35920-1-ND"
"Resistor","Resistor","R3","0603-RES","Resistor","1","311-100KHRCT-ND"
"Resistor","Resistor","R6","0603-RES","Resistor","1","311-470GRCT-ND"
"SMDA12LCCTR","TVS DIODE 12V 19V 8SO","U3","SOIC127P600X175-8N","SMDA12CTR","1","1655-2009-1-ND"
