Quantity,Designator,Description,Value,Footprint,Supplier Part Number,Manufacturer Part Number,Supplier,Manufacturer
"1","BNC1","CONN BNC JACK STR 50 OHM PCB","","BNC","A33798-ND","5227699-1","Digi-Key","TE Connectivity"
"5","C1, C2, C3, C4, C9","CAP CER 0.1UF 25V Y5V 0603","100nF","CAPC1608X87X35NL15T15","399-1100-1-ND","C0603C104Z3VACTU","Digi-Key","Kemet"
"1","C5","CAP CER 1000PF 50V C0G/NP0 0603","1nF","CAPC1608X90X35ML10T15","490-1451-1-ND","GRM1885C1H102JA01D","Digi-Key","Murata"
"5","C6, C7, C8, C10, C11","CAP CER 10UF 25V X5R 0805","10uF","CAP-0805","1276-2890-1-ND","CL21A106KAFN3NE","Digi-Key","Samsung"
"1","DS1","LED Green, 75 mW, 80 mA, -55 to 85 degC, 2-Pin SMD, RoHS, Tape and Reel","GREEN","LTST-C193KGKT-5A_V","160-1828-1-ND","LTST-C193KGKT-5A","Digi-Key","Lite-On"
"1","DS2","LED Uni-Color Blue, 76 mW, 20 mA, -20 to 80 degC, 2-Pin SMD, RoHS, Tape and Reel","BLUE","LTST-C193TBKT_V","160-1827-1-ND","LTST-C193TBKT-5A","Digi-Key","Lite-On"
"1","IC1","SENSOR CURRENT HALL 50A AC/DC","","LA-55P","398-1010-ND","LA 55-P","Digi-Key","LEM USA Inc."
"4","L1, L2, L3, L4","SMD EMI Suppression Ferrite Bead WE-CBF, Z = 30 Ohm","30 Ohm","SMD-0603","732-1591-1-ND","742792609","Digi-Key","Wurth Electronics"
"1","P1","TERM BLK 3P SIDE ENT 2.54MM PCB","","HDR1x3","A98334-ND","282834-3","Digi-Key","TE Connectivity"
"1","P2","CONN RCPT 7POS 0.1 GOLD PCB","","HDR1x7","A32908-ND","5-534237-5","Digi-Key","TE Connectivity"
"1","P3","CONN RCPT 3POS 0.1 GOLD PCB","","HDR1x3","215297-3","691214110003","Digi-Key","TE Connectivity"
"2","P5, P6","6 Pin Screw Terminal, Power Tap 10-32 Through Hole","","Screw Terminal","36-8196-ND","8196","Digi-Key","Keystone Electronics"
"2","R1, R3","RES SMD 3K OHM 5% 1/10W 0603","3k","RESC1608X55X30LL15T15","P3.0KGCT-ND","ERJ3GEYJ302V","Digi-Key","Panasonic"
"1","R2","General Purpose Chip Resistor, 470 Ohm, +/- 1%, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel","470","RESC1608X55X25LL10T15","311-470HRCT-ND","RC0603FR-07470RL","Digi-Key","Yageo"
"1","R4","RES SMD 10K OHM 0.1% 1/10W 0603","10k","RESC1608X55X30ML20T20","P10KDBCT-ND","ERA3AEB103V","Digi-Key","Panasonic"
"1","R5","RES 150 OHM 1% 2W 2512","150","RES-2512","RHC2512FT150RCT-ND","RHC2512FT150R","Digi-Key","Stackpole Electronics"
"1","R6","RES SMD 10.7KOHM 0.1% 1/10W 0603","10.7k","RESC1608X55X30ML20T20","P10.7KDBCT-ND","ERA-3AEB1072V","Digi-Key","Panasonic"
"1","R8","RES SMD 4.12KOHM 0.1% 1/10W 0603","4.12k","RESC1608X55X30LL20T20","P4.12KDBCT-ND","ERA-3AEB4121V","Digi-Key","Panasonic"
"7","TP1, TP2, TP3, TP4, TP5, TP6, TP7","Test Point, Yellow, 1-Pin THD, RoHS, Bulk","","KSTN-5004","36-5004-ND","5004","Digi-Key","Keystone"
"1","U1","IC ADC 16BIT 1MSPS 10VSSOP","","VSSOP10","296-47183-ND","ADS8860IDGS","Digi-Key","Texas Instruments"
"1","U2","Precision, 20 MHz, 0.9 pA Ib, RRIO, CMOS Operational Amplifier, 1.8 to 5.5 V, -40 to 125 degC, 5-pin SOT23 (DBV5), Green (RoHS & no Sb/Br)","","DBV0005A_L","296-29480-1-ND","OPA320AIDBVR","Digi-Key","Texas Instruments"
"1","U3","Low Noise, Very Low Drift, Precision Voltage Reference, -40 to 125 degC, 8-pin VSSOP (DGK), Green (RoHS & no Sb/Br)","","DGK0008A_N","296-24505-1-ND","REF5045IDGKT","Digi-Key","Texas Instruments"
