Quantity,Designator,Description,Value,Footprint,Supplier Part Number,Manufacturer Part Number,Supplier,Manufacturer
"10","C1, C3, C4, C7, C8, C9, C12, C13, C14, C15","CAP CER 0.1UF 25V X7R 0603","100n","0603-CAP","311-1341-1-ND","CC0603KRX7R8BB104","DigiKey","Yageo Group"
"5","C2, C5, C6, C10, C11","CAP CER 10UF 25V X5R 0603","10u","0603-CAP","490-12737-1-ND","GRM188R61E106MA73J","DigiKey","Murata"
"1","CON1","TERM BLK 2POS SIDE ENTRY 5MM PCB","","1935161","277-1667-ND","PT1.5/2-5.0-H","DigiKey","Phoenix Contact"
"14","GP1, GP2, GP3, TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11","PC TEST POINT NATURAL","","RCT-0C","A106144CT-ND","1625854-2","DigiKey","TE Connectivity"
"4","L1, L2, L3, L4","FERRITE BEAD 30 OHM 0603 1LN","30R","INDC1608X10N","732-1591-1-ND","742792609","DigiKey","Wurth Electronics"
"2","LED1, LED2","LED GREEN CLEAR 0603 SMD","GREEN","0603-LED","732-4980-1-ND","150060VS75000","DigiKey","Wurth Electronics"
"1","LED3","LED RED CLEAR 0603 SMD","RED","0603-LED","732-4978-1-ND","150060RS75000","DigiKey","Wurth Electronics"
"1","P1","TERM BLK 3P SIDE ENT 2.54MM PCB","","Term Block - 3 pos","A98334-ND","282834-3","DigiKey","TE Connectivity"
"1","P2","CONN RCPT 7POS 0.1 GOLD PCB","","HDR1x7","A32908-ND","5-534237-5","DigiKey","TE Connectivity"
"1","P3","CONN RCPT 3POS 0.1 GOLD PCB","","HDR1x3","A32904-ND","5-534237-1","DigiKey","TE Connectivity"
"1","Q1","CONN BNC JACK STR 50 OHM PCB","","5-1634503-1","A97581-ND","5-1634503-1","DigiKey","AMP - TE CONNECTIVITY"
"2","R1, R2","RES 16 OHM 1% 1/10W 0603","16","0603-RES","311-16.0HRCT-ND","RC0603FR-0716RL","DigiKey","Yageo"
"1","R3","RES 100K OHM 1% 1/10W 0603","100k","0603-RES","311-100KHRCT-ND","RC0603FR-07100KL","DigiKey","YAGEO"
"2","R4, R5","RES 3K OHM 1% 1/10W 0603","3k","0603-RES","311-3.00KHRCT-ND","RC0603FR-073KL","DigiKey","Yageo"
"1","R6","RES 470 OHM 5% 1/10W 0603","470","0603-RES","311-470GRCT-ND","RC0603JR-07470RL","DigiKey","YAGEO"
"1","U1","IC OPAMP DIFF 1 CIRCUIT 8SOIC","","SOIC127P600X175-8N","296-46094-1-ND","INA143UA/2K5","DigiKey","Texas Instruments"
"1","U2","IC ADC 16BIT SAR 10VSSOP","","TSSOP50P490X110-10N","296-39883-1-ND","ADS8865IDGSR","DigiKey","Texas Instruments"
"1","U3","TVS DIODE 12V 19V 8SO","","SOIC127P600X175-8N","1655-2009-1-ND","SMDA12LCC","DigiKey","SMC Diode Solutions"
"1","U4","Series Voltage Reference IC ±0.2% 25mA SOT-23-3","","SOT23-3","REF3020AIDBZTCT-ND","REF3020AIDBZT","DigiKey","Texas Instruments"
"1","U5","Series Voltage Reference IC ±0.2% 25mA SOT-23-3","","SOT23-3","296-35920-1-ND","REF3040AIDBZR","DigiKey","Texas Instruments"
